,Tm,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year
13,New Orleans Hornets,2.0,4.0,0.333,2,4,104.7,113.1,-8.4,85.3,0.36,0.195,0.537,,0.488,13.4,21.2,0.267,,0.5,12.9,67.7,0.295,2011
14,Philadelphia 76ers,1.0,4.0,0.2,1,4,100.7,109.3,-8.6,86.0,0.213,0.201,0.485,,0.453,10.6,23.9,0.154,,0.462,11.3,69.1,0.303,2011
15,New York Knicks,0.0,4.0,0.0,1,3,99.0,108.2,-9.2,91.7,0.298,0.286,0.483,,0.435,14.0,30.7,0.223,,0.52,15.7,69.3,0.174,2011
0,Miami Heat,16.0,7.0,0.696,17,6,109.6,101.6,8.0,88.0,0.364,0.258,0.552,,0.505,12.8,26.1,0.271,,0.466,14.0,74.0,0.229,2012
1,San Antonio Spurs,10.0,4.0,0.714,10,4,110.3,103.9,6.4,92.4,0.29,0.287,0.574,,0.541,13.8,21.8,0.212,,0.48,12.6,74.8,0.216,2012
2,Oklahoma City Thunder,13.0,7.0,0.65,13,7,111.8,107.4,4.4,90.6,0.306,0.24,0.558,,0.508,11.3,23.6,0.251,,0.491,13.7,74.7,0.262,2012
3,Indiana Pacers,6.0,5.0,0.545,6,5,102.4,100.9,1.5,88.0,0.289,0.225,0.507,,0.461,14.4,29.8,0.223,,0.469,13.2,75.2,0.217,2012
4,Boston Celtics,11.0,9.0,0.55,11,9,100.4,99.2,1.2,87.8,0.28,0.211,0.516,,0.468,13.0,20.1,0.224,,0.464,13.4,75.1,0.203,2012
5,Memphis Grizzlies,3.0,4.0,0.429,4,3,102.8,102.0,0.8,87.7,0.403,0.155,0.509,,0.449,14.7,32.6,0.3,,0.493,15.0,75.9,0.244,2012
6,Denver Nuggets,3.0,4.0,0.429,4,3,107.1,106.6,0.5,90.3,0.227,0.213,0.492,,0.46,10.2,33.0,0.163,,0.461,11.0,66.7,0.186,2012
7,Philadelphia 76ers,7.0,6.0,0.538,6,7,96.9,98.3,-1.4,88.5,0.312,0.168,0.482,,0.436,11.5,23.9,0.225,,0.459,14.1,76.8,0.198,2012
8,Chicago Bulls,2.0,4.0,0.333,3,3,95.7,97.6,-1.9,88.1,0.229,0.157,0.475,,0.448,13.9,26.8,0.149,,0.428,9.9,78.2,0.248,2012
9,Los Angeles Lakers,5.0,7.0,0.417,4,8,105.4,110.0,-4.6,89.2,0.285,0.207,0.502,,0.454,11.8,31.0,0.221,,0.474,9.7,69.7,0.2,2012
10,Los Angeles Clippers,4.0,7.0,0.364,4,7,101.3,106.5,-5.2,88.9,0.315,0.217,0.53,,0.499,14.7,22.2,0.21,,0.491,14.5,71.0,0.268,2012
11,Atlanta Hawks,2.0,4.0,0.333,2,4,91.8,97.1,-5.3,87.9,0.204,0.237,0.475,,0.438,15.1,22.6,0.16,,0.461,13.0,82.3,0.211,2012
12,Dallas Mavericks,0.0,4.0,0.0,1,3,102.9,110.1,-7.2,90.6,0.343,0.276,0.519,,0.455,13.9,24.7,0.285,,0.52,12.8,80.5,0.265,2012
13,Orlando Magic,1.0,4.0,0.2,1,4,94.8,107.0,-12.2,86.6,0.244,0.316,0.486,,0.452,14.0,22.6,0.172,,0.48,13.3,68.4,0.196,2012
14,New York Knicks,1.0,4.0,0.2,1,4,95.2,111.3,-16.1,86.9,0.297,0.248,0.499,,0.451,18.1,30.1,0.226,,0.511,13.7,74.1,0.315,2012
15,Utah Jazz,0.0,4.0,0.0,0,4,93.9,111.3,-17.4,91.9,0.306,0.131,0.443,,0.395,12.2,32.0,0.216,,0.533,11.6,80.7,0.213,2012
0,San Antonio Spurs,15.0,6.0,0.714,15,6,108.7,101.1,7.6,89.6,0.261,0.253,0.547,,0.511,12.3,23.3,0.199,,0.475,12.8,73.8,0.162,2013
1,Miami Heat,16.0,7.0,0.696,17,6,110.2,102.9,7.3,87.3,0.303,0.264,0.559,,0.518,13.1,25.2,0.232,,0.48,15.6,71.1,0.237,2013
2,New York Knicks,6.0,6.0,0.5,7,5,101.4,98.3,3.1,86.6,0.222,0.288,0.498,,0.46,11.5,24.2,0.174,,0.47,17.1,76.5,0.276,2013
3,Brooklyn Nets,3.0,4.0,0.429,4,3,107.8,105.6,2.2,88.3,0.304,0.232,0.524,,0.479,10.9,27.4,0.23,,0.497,12.4,74.0,0.171,2013
4,Oklahoma City Thunder,5.0,6.0,0.455,6,5,105.1,103.7,1.4,92.8,0.295,0.303,0.534,,0.479,12.9,23.0,0.247,,0.468,12.5,76.0,0.254,2013
5,Memphis Grizzlies,8.0,7.0,0.533,8,7,105.0,104.3,0.7,88.4,0.357,0.182,0.502,,0.447,10.2,27.2,0.267,,0.493,13.8,77.5,0.219,2013
6,Golden State Warriors,6.0,6.0,0.5,6,6,106.4,106.2,0.2,94.0,0.258,0.265,0.546,,0.513,14.9,27.5,0.19,,0.483,11.9,75.0,0.234,2013
7,Indiana Pacers,11.0,8.0,0.579,10,9,104.5,104.4,0.1,87.3,0.384,0.258,0.528,,0.475,15.9,32.4,0.284,,0.473,11.4,76.8,0.222,2013
8,Denver Nuggets,2.0,4.0,0.333,2,4,105.9,110.2,-4.3,97.2,0.35,0.265,0.526,,0.479,12.9,26.3,0.255,,0.554,17.0,72.9,0.209,2013
9,Atlanta Hawks,2.0,4.0,0.333,2,4,98.0,103.6,-5.6,91.2,0.338,0.241,0.503,,0.462,12.0,18.6,0.231,,0.455,14.4,70.0,0.284,2013
10,Boston Celtics,2.0,4.0,0.333,2,4,92.9,98.9,-6.0,87.1,0.312,0.3,0.525,,0.463,18.1,14.0,0.268,,0.462,12.7,76.3,0.17,2013
11,Houston Rockets,2.0,4.0,0.333,2,4,105.3,111.4,-6.1,95.0,0.342,0.416,0.537,,0.496,14.5,24.8,0.243,,0.511,12.0,77.2,0.258,2013
12,Los Angeles Clippers,2.0,4.0,0.333,2,4,107.5,113.8,-6.3,88.0,0.314,0.254,0.552,,0.506,13.5,24.3,0.246,,0.486,10.2,73.3,0.344,2013
13,Chicago Bulls,5.0,7.0,0.417,3,9,102.5,110.0,-7.5,87.4,0.287,0.213,0.511,,0.472,13.7,28.4,0.206,,0.501,11.9,74.5,0.255,2013
14,Milwaukee Bucks,0.0,4.0,0.0,0,4,94.0,110.3,-16.3,90.7,0.264,0.3,0.498,,0.472,15.9,21.1,0.166,,0.544,16.5,70.7,0.255,2013
15,Los Angeles Lakers,0.0,4.0,0.0,0,4,92.5,112.9,-20.4,92.1,0.237,0.237,0.495,,0.474,16.1,20.2,0.144,,0.527,9.8,78.3,0.185,2013
0,San Antonio Spurs,16.0,7.0,0.696,18,5,114.2,104.2,10.0,92.7,0.291,0.267,0.583,,0.546,12.1,23.6,0.223,,0.492,13.4,77.2,0.197,2014
1,Los Angeles Clippers,6.0,7.0,0.462,7,6,113.3,111.3,2.0,96.0,0.334,0.302,0.555,,0.515,11.4,26.2,0.244,,0.521,14.9,70.4,0.272,2014
2,Miami Heat,13.0,7.0,0.65,11,9,112.8,110.8,2.0,86.2,0.305,0.326,0.594,,0.555,12.9,17.1,0.238,,0.539,14.2,75.3,0.22,2014
3,Washington Wizards,6.0,5.0,0.545,6,5,102.0,100.9,1.1,87.8,0.285,0.211,0.504,,0.468,12.5,27.9,0.198,,0.471,12.7,79.7,0.227,2014
4,Houston Rockets,2.0,4.0,0.333,3,3,114.8,114.4,0.4,92.7,0.325,0.28,0.534,,0.49,11.7,35.3,0.242,,0.507,10.6,72.8,0.258,2014
5,Atlanta Hawks,3.0,4.0,0.429,3,4,101.9,103.0,-1.1,90.7,0.316,0.417,0.515,,0.456,13.1,20.4,0.261,,0.5,14.6,76.2,0.22,2014
6,Indiana Pacers,10.0,9.0,0.526,9,10,103.7,104.8,-1.1,88.3,0.314,0.258,0.54,,0.5,13.8,21.1,0.228,,0.493,13.6,77.0,0.218,2014
7,Oklahoma City Thunder,10.0,9.0,0.526,9,10,108.1,109.2,-1.1,92.3,0.327,0.287,0.551,,0.496,14.0,27.1,0.268,,0.485,10.5,74.2,0.212,2014
8,Brooklyn Nets,5.0,7.0,0.417,5,7,110.5,112.0,-1.5,86.4,0.33,0.302,0.555,,0.514,12.5,25.1,0.243,,0.516,13.3,77.0,0.306,2014
9,Toronto Raptors,3.0,4.0,0.429,3,4,108.2,110.0,-1.8,88.8,0.391,0.283,0.553,,0.486,15.0,26.8,0.326,,0.506,11.8,77.0,0.291,2014
10,Dallas Mavericks,3.0,4.0,0.429,3,4,110.0,112.1,-2.1,92.0,0.217,0.259,0.532,,0.5,10.7,26.4,0.166,,0.542,13.4,76.6,0.245,2014
11,Golden State Warriors,3.0,4.0,0.429,3,4,110.2,114.8,-4.6,96.6,0.335,0.316,0.558,,0.518,15.3,30.8,0.244,,0.529,12.9,72.1,0.29,2014
12,Chicago Bulls,1.0,4.0,0.2,2,3,103.0,108.3,-5.3,85.6,0.29,0.244,0.508,,0.463,13.0,27.9,0.219,,0.479,10.2,72.2,0.225,2014
13,Memphis Grizzlies,3.0,4.0,0.429,2,5,102.8,108.5,-5.7,88.8,0.293,0.173,0.486,,0.442,10.1,27.0,0.214,,0.483,14.1,69.0,0.263,2014
14,Portland Trail Blazers,5.0,6.0,0.455,3,8,107.2,113.6,-6.4,94.6,0.281,0.26,0.529,,0.482,12.3,26.1,0.224,,0.508,10.4,70.6,0.208,2014
15,Charlotte Hornets,0.0,4.0,0.0,1,3,101.5,112.3,-10.8,90.6,0.312,0.282,0.537,,0.5,14.9,20.8,0.223,,0.539,10.7,85.7,0.26,2014
0,Golden State Warriors,16.0,5.0,0.762,16,5,108.7,100.5,8.2,93.7,0.263,0.362,0.55,,0.521,13.5,26.2,0.184,,0.458,13.1,75.3,0.228,2015
1,Cleveland Cavaliers,14.0,6.0,0.7,13,7,107.4,103.1,4.3,90.7,0.325,0.347,0.524,,0.479,12.0,28.1,0.24,,0.467,11.1,77.5,0.209,2015
2,Washington Wizards,6.0,4.0,0.6,6,4,105.8,101.7,4.1,94.6,0.28,0.276,0.533,,0.497,13.3,26.8,0.202,,0.47,12.2,77.2,0.177,2015
3,Chicago Bulls,6.0,6.0,0.5,7,5,104.4,100.7,3.7,90.4,0.257,0.294,0.515,,0.474,13.1,26.8,0.199,,0.452,11.8,74.3,0.198,2015
4,Los Angeles Clippers,7.0,7.0,0.5,8,6,108.4,107.1,1.3,98.7,0.361,0.3,0.548,,0.515,11.8,21.3,0.241,,0.505,12.5,75.0,0.25,2015
5,San Antonio Spurs,3.0,4.0,0.429,4,3,107.8,107.3,0.5,94.5,0.298,0.307,0.536,,0.505,11.2,24.8,0.203,,0.509,11.5,78.6,0.224,2015
6,Atlanta Hawks,8.0,8.0,0.5,8,8,103.4,103.6,-0.2,93.5,0.227,0.335,0.521,,0.484,11.9,21.6,0.178,,0.486,12.9,74.7,0.184,2015
7,Memphis Grizzlies,6.0,5.0,0.545,5,6,103.0,104.4,-1.4,91.9,0.27,0.166,0.503,,0.451,10.5,23.7,0.225,,0.501,14.1,77.2,0.192,2015
8,Houston Rockets,9.0,8.0,0.529,7,10,106.6,109.0,-2.4,101.5,0.44,0.33,0.544,,0.505,13.5,23.8,0.288,,0.514,12.5,74.4,0.21,2015
9,Dallas Mavericks,1.0,4.0,0.2,2,3,107.9,112.0,-4.1,101.9,0.274,0.265,0.534,,0.493,12.1,28.1,0.209,,0.52,12.4,75.1,0.291,2015
10,Brooklyn Nets,2.0,4.0,0.333,2,4,100.8,106.5,-5.7,94.0,0.251,0.289,0.522,,0.486,13.4,21.0,0.186,,0.505,12.3,77.8,0.161,2015
11,Portland Trail Blazers,1.0,4.0,0.2,1,4,101.9,109.3,-7.4,92.0,0.258,0.313,0.504,,0.455,11.1,22.2,0.213,,0.465,7.9,78.1,0.254,2015
12,New Orleans Pelicans,0.0,4.0,0.0,1,3,106.8,115.2,-8.4,92.0,0.264,0.252,0.536,,0.491,12.6,24.9,0.214,,0.516,11.0,69.1,0.211,2015
13,Boston Celtics,0.0,4.0,0.0,1,3,101.5,111.5,-10.0,93.3,0.308,0.26,0.504,,0.453,12.6,22.2,0.239,,0.498,11.8,71.9,0.303,2015
14,Milwaukee Bucks,2.0,4.0,0.333,1,5,91.8,104.6,-12.8,93.1,0.236,0.206,0.455,,0.419,11.9,23.9,0.166,,0.504,15.7,73.5,0.2,2015
15,Toronto Raptors,0.0,4.0,0.0,1,3,99.3,113.7,-14.4,94.5,0.241,0.283,0.493,,0.459,10.9,19.0,0.173,,0.547,13.3,73.0,0.25,2015
0,San Antonio Spurs,6.0,4.0,0.6,8,2,111.0,101.1,9.9,91.9,0.248,0.232,0.557,,0.519,11.2,20.3,0.199,,0.467,14.2,71.7,0.208,2016
1,Cleveland Cavaliers,16.0,5.0,0.762,16,5,115.5,106.0,9.5,90.7,0.267,0.37,0.573,,0.544,12.0,26.8,0.193,,0.51,12.8,79.0,0.189,2016
2,Oklahoma City Thunder,11.0,7.0,0.611,12,6,111.8,106.2,5.6,95.2,0.326,0.295,0.551,,0.501,12.6,29.6,0.256,,0.499,11.5,78.7,0.191,2016
3,Golden State Warriors,15.0,9.0,0.625,15,9,110.5,106.1,4.4,97.0,0.272,0.379,0.562,,0.529,12.7,23.9,0.2,,0.481,13.1,72.4,0.226,2016
4,Miami Heat,7.0,7.0,0.5,9,5,105.1,101.7,3.4,90.2,0.264,0.238,0.539,,0.5,12.8,23.0,0.202,,0.451,10.4,80.5,0.241,2016
5,Indiana Pacers,3.0,4.0,0.429,4,3,105.5,103.9,1.6,88.8,0.319,0.284,0.549,,0.495,14.5,23.5,0.261,,0.437,12.8,67.2,0.246,2016
6,Los Angeles Clippers,2.0,4.0,0.333,3,3,104.9,103.9,1.0,93.7,0.345,0.229,0.502,,0.471,9.0,23.5,0.216,,0.467,12.0,71.3,0.193,2016
7,Atlanta Hawks,4.0,6.0,0.4,5,5,103.5,104.5,-1.0,95.7,0.242,0.375,0.533,,0.494,13.3,20.7,0.192,,0.487,12.7,75.0,0.175,2016
8,Portland Trail Blazers,5.0,6.0,0.455,5,6,108.1,110.7,-2.6,96.2,0.287,0.351,0.523,,0.483,11.5,26.6,0.212,,0.507,10.1,75.5,0.22,2016
9,Toronto Raptors,10.0,10.0,0.5,7,13,102.8,107.5,-4.7,89.4,0.301,0.282,0.507,,0.463,12.4,25.1,0.222,,0.514,13.6,77.3,0.237,2016
10,Boston Celtics,2.0,4.0,0.333,2,4,93.8,100.5,-6.7,98.3,0.235,0.352,0.475,,0.432,12.9,21.5,0.184,,0.481,13.3,80.6,0.191,2016
11,Charlotte Hornets,3.0,4.0,0.429,1,6,99.2,109.0,-9.8,91.0,0.309,0.231,0.494,,0.432,9.4,15.9,0.259,,0.517,11.8,75.9,0.186,2016
12,Detroit Pistons,0.0,4.0,0.0,1,3,109.4,119.2,-9.8,86.8,0.292,0.309,0.559,,0.537,11.0,18.4,0.189,,0.546,8.6,75.5,0.147,2016
13,Houston Rockets,1.0,4.0,0.2,0,5,92.7,111.8,-19.1,98.4,0.32,0.332,0.467,,0.43,16.3,29.9,0.206,,0.552,12.9,77.1,0.199,2016
14,Dallas Mavericks,1.0,4.0,0.2,0,5,102.1,122.0,-19.9,91.8,0.298,0.264,0.511,,0.474,11.4,21.5,0.207,,0.537,12.0,65.5,0.278,2016
15,Memphis Grizzlies,0.0,4.0,0.0,0,4,90.9,115.6,-24.7,89.1,0.215,0.197,0.455,,0.423,14.8,28.8,0.151,,0.552,13.7,77.3,0.246,2016
0,Golden State Warriors,16.0,1.0,0.941,14,3,119.0,105.5,13.5,100.3,0.292,0.378,0.608,,0.567,12.2,22.4,0.238,,0.487,12.3,76.6,0.212,2017
1,Cleveland Cavaliers,13.0,5.0,0.722,13,5,120.3,112.1,8.2,96.6,0.316,0.408,0.614,,0.579,12.1,23.6,0.242,,0.521,11.9,76.1,0.189,2017
2,Houston Rockets,6.0,5.0,0.545,6,5,110.7,109.5,1.2,96.4,0.304,0.452,0.559,,0.514,12.7,22.7,0.24,,0.502,11.1,71.7,0.187,2017
3,San Antonio Spurs,8.0,8.0,0.5,9,7,113.4,112.3,1.1,93.2,0.277,0.282,0.551,,0.512,11.6,29.1,0.214,,0.539,13.1,78.5,0.208,2017
4,Washington Wizards,7.0,6.0,0.538,7,6,110.9,110.9,0.0,96.7,0.281,0.302,0.549,,0.505,12.3,26.6,0.223,,0.525,13.3,76.2,0.244,2017
5,Milwaukee Bucks,2.0,4.0,0.333,3,3,103.0,103.7,-0.7,90.5,0.267,0.277,0.533,,0.503,13.2,19.1,0.186,,0.494,14.4,80.6,0.279,2017
6,Atlanta Hawks,2.0,4.0,0.333,3,3,107.3,108.5,-1.2,98.4,0.343,0.323,0.542,,0.493,14.1,26.4,0.262,,0.502,11.8,77.3,0.227,2017
7,Los Angeles Clippers,3.0,4.0,0.429,3,4,108.8,110.0,-1.2,89.8,0.312,0.304,0.558,,0.526,12.2,19.9,0.217,,0.542,12.4,82.1,0.223,2017
8,Boston Celtics,9.0,9.0,0.5,7,11,111.4,114.5,-3.1,93.9,0.242,0.41,0.566,,0.532,12.6,22.2,0.187,,0.531,13.1,71.5,0.227,2017
9,Indiana Pacers,0.0,4.0,0.0,2,2,114.7,118.9,-4.2,94.8,0.247,0.33,0.564,,0.53,12.1,28.3,0.19,,0.565,11.9,75.2,0.233,2017
10,Utah Jazz,4.0,7.0,0.364,4,7,106.2,111.3,-5.1,92.1,0.298,0.331,0.552,,0.515,12.0,16.7,0.218,,0.533,11.4,81.3,0.224,2017
11,Toronto Raptors,4.0,6.0,0.4,3,7,103.8,109.9,-6.1,93.1,0.283,0.296,0.541,,0.493,12.6,17.3,0.23,,0.539,13.2,81.3,0.222,2017
12,Chicago Bulls,2.0,4.0,0.333,2,4,104.8,112.2,-7.4,92.1,0.24,0.285,0.529,,0.483,14.4,29.6,0.204,,0.534,11.8,78.5,0.163,2017
13,Oklahoma City Thunder,1.0,4.0,0.2,1,4,105.7,114.4,-8.7,98.6,0.309,0.309,0.525,,0.49,11.4,26.0,0.213,,0.513,13.1,74.8,0.32,2017
14,Memphis Grizzlies,2.0,4.0,0.333,1,5,110.3,119.8,-9.5,85.8,0.263,0.313,0.559,,0.51,11.6,20.3,0.229,,0.545,11.4,73.9,0.266,2017
15,Portland Trail Blazers,0.0,4.0,0.0,0,4,99.3,116.9,-17.6,102.3,0.271,0.38,0.507,,0.458,13.2,20.6,0.218,,0.556,11.1,81.0,0.258,2017
0,Golden State Warriors,16.0,5.0,0.762,17,4,113.9,103.6,10.3,96.5,0.237,0.365,0.581,,0.545,11.9,21.8,0.195,,0.481,12.3,77.6,0.186,2018
1,Indiana Pacers,3.0,4.0,0.429,5,2,110.9,104.6,6.3,90.7,0.241,0.339,0.567,,0.542,12.9,21.6,0.171,,0.503,14.3,77.7,0.238,2018
2,Philadelphia 76ers,5.0,5.0,0.5,6,4,110.4,106.5,3.9,97.5,0.32,0.331,0.539,,0.493,12.6,29.1,0.243,,0.514,12.7,80.8,0.232,2018
3,Houston Rockets,11.0,6.0,0.647,10,7,109.6,107.7,1.9,95.7,0.261,0.466,0.552,,0.514,11.3,20.0,0.201,,0.53,13.2,80.1,0.188,2018
4,Boston Celtics,11.0,8.0,0.579,10,9,107.7,107.0,0.7,93.1,0.283,0.367,0.541,,0.5,11.1,20.4,0.217,,0.518,12.9,79.5,0.202,2018
5,Milwaukee Bucks,3.0,4.0,0.429,3,4,108.8,109.4,-0.6,92.3,0.254,0.328,0.585,,0.561,13.1,14.7,0.179,,0.503,12.1,75.5,0.219,2018
6,New Orleans Pelicans,5.0,4.0,0.556,4,5,107.1,107.8,-0.7,102.7,0.204,0.301,0.562,,0.533,12.9,17.7,0.16,,0.514,12.0,78.8,0.169,2018
7,Cleveland Cavaliers,12.0,10.0,0.545,10,12,109.4,111.2,-1.8,91.6,0.282,0.37,0.55,,0.512,12.1,23.5,0.212,,0.529,11.5,79.4,0.195,2018
8,Washington Wizards,2.0,4.0,0.333,3,3,110.3,112.3,-2.0,97.2,0.274,0.256,0.561,,0.513,12.4,21.2,0.233,,0.539,13.1,78.1,0.239,2018
9,Utah Jazz,5.0,6.0,0.455,5,6,104.7,106.9,-2.2,97.8,0.284,0.361,0.549,,0.52,14.3,20.8,0.195,,0.505,11.6,80.8,0.196,2018
10,Oklahoma City Thunder,2.0,4.0,0.333,2,4,103.5,107.9,-4.4,97.8,0.245,0.333,0.528,,0.49,12.7,20.8,0.189,,0.521,13.7,75.4,0.212,2018
11,Toronto Raptors,4.0,6.0,0.4,4,6,112.0,116.6,-4.6,94.8,0.29,0.324,0.578,,0.536,13.1,23.2,0.232,,0.541,10.5,79.1,0.217,2018
12,Portland Trail Blazers,0.0,4.0,0.0,1,3,106.9,116.0,-9.1,98.7,0.173,0.354,0.539,,0.512,12.9,23.9,0.135,,0.582,13.0,81.1,0.203,2018
13,Minnesota Timberwolves,1.0,4.0,0.2,1,4,107.0,116.2,-9.2,95.0,0.276,0.264,0.548,,0.515,12.0,20.1,0.201,,0.531,7.9,80.3,0.193,2018
14,San Antonio Spurs,1.0,4.0,0.2,1,4,103.7,113.1,-9.4,93.3,0.274,0.337,0.515,,0.463,10.5,18.5,0.229,,0.535,12.9,73.7,0.205,2018
15,Miami Heat,1.0,4.0,0.2,1,4,103.0,113.7,-10.7,100.4,0.345,0.333,0.542,,0.507,14.4,20.7,0.234,,0.514,13.6,70.4,0.279,2018
0,Milwaukee Bucks,10.0,5.0,0.667,11,4,111.1,102.5,8.6,100.1,0.317,0.431,0.56,,0.523,11.3,21.5,0.231,,0.474,10.8,83.0,0.207,2019
1,Toronto Raptors,16.0,8.0,0.667,16,8,110.0,104.4,5.6,96.0,0.275,0.406,0.561,,0.514,11.2,18.9,0.228,,0.491,14.0,77.7,0.233,2019
2,Golden State Warriors,14.0,8.0,0.636,13,9,115.3,111.9,3.4,98.1,0.282,0.38,0.589,,0.548,13.3,24.8,0.23,,0.522,13.1,76.6,0.243,2019
3,Houston Rockets,6.0,5.0,0.545,7,4,110.9,107.6,3.3,97.0,0.29,0.51,0.574,,0.537,14.3,23.1,0.221,,0.499,12.9,75.0,0.217,2019
4,Philadelphia 76ers,7.0,5.0,0.583,7,5,109.9,106.8,3.1,98.9,0.301,0.331,0.559,,0.514,14.4,27.2,0.238,,0.488,11.4,79.5,0.246,2019
5,Denver Nuggets,7.0,7.0,0.5,8,6,114.4,112.5,1.9,92.6,0.279,0.308,0.538,,0.495,8.7,27.3,0.218,,0.497,8.8,74.8,0.212,2019
6,Boston Celtics,5.0,4.0,0.556,4,5,102.2,103.6,-1.4,99.9,0.288,0.392,0.539,,0.491,13.5,16.6,0.231,,0.491,10.9,82.4,0.199,2019
7,Portland Trail Blazers,8.0,8.0,0.5,7,9,110.6,112.0,-1.4,96.0,0.274,0.363,0.541,,0.501,11.3,24.4,0.21,,0.503,11.3,72.4,0.234,2019
8,San Antonio Spurs,3.0,4.0,0.429,3,4,112.4,114.5,-2.1,91.9,0.27,0.233,0.542,,0.503,8.1,24.2,0.208,,0.516,8.7,76.8,0.177,2019
9,Oklahoma City Thunder,1.0,4.0,0.2,2,3,105.4,111.2,-5.8,99.9,0.295,0.365,0.541,,0.5,13.5,22.7,0.223,,0.519,12.7,75.7,0.209,2019
10,Indiana Pacers,0.0,4.0,0.0,1,3,96.3,104.2,-7.9,95.3,0.246,0.356,0.496,,0.461,11.5,16.6,0.177,,0.517,15.2,81.1,0.206,2019
11,Utah Jazz,1.0,4.0,0.2,1,4,99.2,108.5,-9.3,98.6,0.296,0.414,0.501,,0.455,13.5,24.9,0.222,,0.526,13.8,80.5,0.219,2019
12,Los Angeles Clippers,2.0,4.0,0.333,1,5,111.5,121.0,-9.5,102.9,0.323,0.355,0.563,,0.511,12.8,21.9,0.264,,0.574,12.5,74.5,0.251,2019
13,Brooklyn Nets,1.0,4.0,0.2,1,4,106.7,117.3,-10.6,104.4,0.319,0.372,0.534,,0.48,12.0,22.6,0.258,,0.542,13.3,67.9,0.23,2019
14,Orlando Magic,1.0,4.0,0.2,1,4,96.2,111.2,-15.0,95.7,0.267,0.419,0.496,,0.451,14.4,20.3,0.207,,0.55,11.8,82.8,0.161,2019
15,Detroit Pistons,0.0,4.0,0.0,0,4,96.8,120.2,-23.4,101.3,0.171,0.344,0.471,,0.444,9.2,19.8,0.124,,0.583,12.8,76.4,0.246,2019
0,Los Angeles Lakers,16.0,5.0,0.762,15,6,115.9,108.9,7.0,97.3,0.293,0.407,0.595,,0.561,14.0,26.1,0.222,,0.525,13.6,81.9,0.251,2020
1,Boston Celtics,10.0,7.0,0.588,11,6,111.3,106.3,5.0,96.4,0.285,0.429,0.572,,0.527,12.7,21.0,0.233,,0.49,11.5,80.5,0.234,2020
2,Los Angeles Clippers,7.0,6.0,0.538,8,5,115.4,111.1,4.3,98.0,0.291,0.38,0.585,,0.544,11.8,21.5,0.232,,0.542,12.6,80.6,0.209,2020
3,Toronto Raptors,7.0,4.0,0.636,7,4,108.3,104.2,4.1,99.1,0.24,0.455,0.559,,0.525,11.8,17.6,0.187,,0.507,13.7,82.2,0.211,2020
4,Utah Jazz,3.0,4.0,0.429,4,3,122.2,118.5,3.7,91.5,0.284,0.455,0.616,,0.583,11.5,22.8,0.22,,0.554,11.4,75.1,0.169,2020
5,Miami Heat,14.0,7.0,0.667,12,9,113.5,111.5,2.0,95.9,0.322,0.433,0.587,,0.537,12.3,19.1,0.266,,0.529,13.0,77.3,0.215,2020
6,Milwaukee Bucks,5.0,5.0,0.5,5,5,109.7,108.5,1.2,100.3,0.279,0.426,0.568,,0.537,13.2,20.5,0.202,,0.527,13.5,83.8,0.241,2020
7,Houston Rockets,5.0,7.0,0.417,6,6,108.3,107.5,0.8,98.6,0.235,0.545,0.569,,0.535,12.4,14.6,0.186,,0.534,15.4,78.0,0.209,2020
8,Denver Nuggets,9.0,10.0,0.474,8,11,113.6,116.0,-2.4,94.1,0.26,0.392,0.584,,0.545,13.2,23.0,0.212,,0.551,12.7,76.8,0.233,2020
9,Oklahoma City Thunder,3.0,4.0,0.429,2,5,102.4,108.7,-6.3,100.1,0.281,0.428,0.542,,0.5,15.0,20.1,0.217,,0.535,11.5,84.6,0.146,2020
10,Orlando Magic,1.0,4.0,0.2,1,4,102.5,111.3,-8.8,104.4,0.237,0.449,0.547,,0.505,13.0,13.5,0.199,,0.572,14.5,82.0,0.177,2020
11,Dallas Mavericks,2.0,4.0,0.333,1,5,112.7,122.0,-9.3,102.1,0.297,0.421,0.58,,0.549,11.2,16.9,0.215,,0.579,10.5,80.4,0.248,2020
12,Portland Trail Blazers,1.0,4.0,0.2,1,4,104.6,115.0,-10.4,101.9,0.283,0.347,0.537,,0.492,13.9,21.4,0.224,,0.552,13.0,72.7,0.222,2020
13,Indiana Pacers,0.0,4.0,0.0,1,3,104.2,115.1,-10.9,96.7,0.252,0.399,0.565,,0.53,14.6,13.7,0.196,,0.545,13.2,76.9,0.288,2020
14,Philadelphia 76ers,0.0,4.0,0.0,1,3,105.5,117.9,-12.4,95.2,0.381,0.36,0.512,,0.443,10.9,26.8,0.31,,0.523,9.7,77.6,0.255,2020
15,Brooklyn Nets,0.0,4.0,0.0,0,4,102.2,122.0,-19.8,103.5,0.268,0.504,0.518,,0.482,12.4,18.1,0.195,,0.592,10.6,79.1,0.203,2020
0,Philadelphia 76ers,7.0,5.0,0.583,9,3,116.0,108.5,7.5,100.2,0.342,0.331,0.589,,0.561,11.5,21.3,0.234,,0.502,11.2,78.8,0.235,2021
